"Refs","Qty","Value","Footprint","Manufacturer","MPN","Supplier","Description","Specification"
"C1","1","10uF","Capacitor_SMD:C_1206_3216Metric","","","","Unpolarized capacitor, small symbol","10uF; 10V; X5R; ±10%; 1206"
"C2, C5, C9, C12","4","100nF","Capacitor_SMD:C_0805_2012Metric","","","","Unpolarized capacitor, small symbol","100nF; 50V; X7R; ±10%; 0805"
"C3","1","1uF","Capacitor_SMD:C_0805_2012Metric","","","","Unpolarized capacitor, small symbol","1uF; 16V; X7R; ±10%; 0805"
"C4, C14","2","470uF","Capacitor_SMD:CP_Elec_6.3x7.7","","EEEFTA471XAP","","470uF 10V 105C SMD D6.3x7.7","470uF; 10V; 105°C; SMD 6.3x7.7mm"
"C6-C8","3","22uF","Capacitor_SMD:C_1206_3216Metric","","","","Unpolarized capacitor, small symbol","22uF; 10V; X7R; ±10%; 1206"
"D1","1","SMBJ5.0A","Diode_SMD:D_SMB","","SMBJ5.0A","","Unidirectional TVS diode, 600W, 5V, SMB / DO-214AA","TVS; SMBJ5.0A; 5.0V; 600W; SMB (DO-214AA)"
"F1","1","10A, 125V, 2410","LumaCore:Fuse_Littelfuse_NANO2_452_2410","","0451010.MRL","","10A, 125V, 2410","Fuse; 10A; 125V; 2410"
"F2","1","PPTC 1.1A","LumaCore:Fuse_Polyfuse_Bourns_MF-MSMF110-16-2_1812","","MF-MSMF110/16-2","","PPTC resettable fuse, 1.1A hold, 2.2A trip, 16V, 1812","PPTC; Ihold 1.1A; Vmax 16V; 1812"
"FB1","1","Ferrite Bead","Inductor_SMD:L_0805_2012Metric","","BLM21PG121SN1D","","Ferrite bead, 120Ω @100MHz, 3A, 30mΩ max, 0805/2012, Murata BLM21PG series","Ferrite bead; 120Ω @100MHz; 3A; 0805"
"J_I2C1","1","JST-SH 4pin","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","","","","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","JST SH; 4 pin; 1.0mm; vertical SMD"
"J_MIC1","1","JST-SH 5pin","Connector_JST:JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical","","","","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)","JST SH; 5 pin; 1.0mm; vertical SMD"
"J_PIR1, J_TOUCH1","2","JST-SH 3pin","Connector_JST:JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical","","","","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","JST SH; 3 pin; 1.0mm; vertical SMD"
"L1","1","3.9uH","LumaCore:L_4020_4030_Universal_LumaCore","","MNR4030T3R9MT","","Inductor","Inductor; 3.9uH; ±20%; current rating ≥3.3A; SMD 4x4mm"
"Q1","1","2N7002","Package_TO_SOT_SMD:SOT-23","","2N7002","","N-channel MOSFET, 60V, 115mA, SOT-23-3","N-MOSFET; VDS ≥60V; ID ≥115mA; SOT-23-3"
"Q3","1","PMOS_30V_6mR_TO252","Package_TO_SOT_SMD:TO-252-3_TabPin2","","G050P03K","","P-MOSFET, -30 V, RDS(on) ≤6 mΩ @ VGS=-4.5 V, TO-252, 1G-2D-3S","P-MOSFET; VDS -30V; RDS(on) ≤6mΩ @ VGS -4.5V; TO-252; 1G-2D-3S"
"R1, R5, R8, R12, R15","5","100","Resistor_SMD:R_0805_2012Metric","","","","Resistor, small symbol","100Ω; ±1%; 0.125W; 0805; thick-film"
"R2, R9","2","10k","Resistor_SMD:R_0805_2012Metric","","","","Resistor, small symbol","10kΩ; ±1%; 0.125W; 0805; thick-film"
"R4, R6","2","4.7k","Resistor_SMD:R_0805_2012Metric","","","","Resistor, small symbol","4.7kΩ; ±1%; 0.125W; 0805; thick-film"
"R7, R10, R13, R17","4","100k","Resistor_SMD:R_0805_2012Metric","","","","Resistor, small symbol","100kΩ; ±1%; 0.125W; 0805; thick-film"
"R14","1","330","Resistor_SMD:R_0805_2012Metric","","","","Resistor, small symbol","330Ω; ±1%; 0.125W; 0805; thick-film"
"R20, R21","2","33","Resistor_SMD:R_0805_2012Metric","","","","Resistor, small symbol","33Ω; ±1%; 0.125W; 0805; thick-film"
"SW1","1","Reset","Button_Switch_SMD:SW_SPST_B3U-1000P","","B3U-1000P","","Push button switch, generic, two pins","Tactile switch; SPST; B3U-1000P; SMD"
"U1","1","AP63203WU","Package_TO_SOT_SMD:TSOT-23-6","","AP63203WU-7","","2A, 1.1MHz Buck DC/DC Converter, fixed 3.3V output voltage, TSOT-23-6","Buck DC/DC; 3.3V output; 2A; 1.1MHz; TSOT-23-6"
"U2","1","ESP32-S3-WROOM-1","LumaCore:ESP32-S3-WROOM-1","","ESP32-S3-WROOM-1(16R8)","","2.4 GHz WiFi (802.11 b/g/n) and Bluetooth ® 5 (LE) module Built around ESP32S3 series of SoCs, Xtensa ® dualcore 32bit LX7 microprocessor Flash up to 16 MB, PSRAM up to 8 MB 36 GPIOs, rich set of peripherals Onboard PCB antenna","ESP32-S3-WROOM-1(16R8); Wi-Fi/BLE; PCB antenna"
"U3","1","74AHCT125","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","SN74AHCT125DR","","Quadruple Bus Buffer Gates With 3-State Outputs","74AHCT125; 5V logic buffer; SOIC-14"
