Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric",159.621250,-116.870000,180.000000,top
"C2","100nF","C_0805_2012Metric",163.045941,-118.100000,90.000000,top
"C3","1uF","C_0805_2012Metric",143.400000,-119.800000,-90.000000,top
"C4","470uF","CP_Elec_6.3x7.7",169.400000,-109.000000,180.000000,top
"C5","100nF","C_0805_2012Metric",159.311250,-122.460000,0.000000,top
"C6","22uF","C_1206_3216Metric",154.670941,-117.700000,0.000000,top
"C7","22uF","C_1206_3216Metric",154.670941,-115.400000,0.000000,top
"C8","22uF","C_1206_3216Metric",131.500000,-117.900000,90.000000,top
"C9","100nF","C_0805_2012Metric",155.500000,-109.600000,0.000000,top
"C12","100nF","C_0805_2012Metric",129.300000,-117.350000,-90.000000,top
"C14","470uF","CP_Elec_6.3x7.7",166.800000,-101.000000,180.000000,top
"D1","SMBJ5.0A","D_SMB",178.000000,-111.800000,180.000000,top
"F1","10A, 125V, 2410","Fuse_Littelfuse_NANO2_452_2410",178.900000,-107.100000,180.000000,top
"F2","PPTC 1.1A","Fuse_Polyfuse_Bourns_MF-MSMF110-16-2_1812",167.250000,-120.200000,90.000000,top
"FB1","Ferrite Bead","L_0805_2012Metric",162.952500,-122.150000,90.000000,top
"J_I2C1","JST-SH 4pin","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",149.300000,-90.275000,0.000000,top
"J_MIC1","JST-SH 5pin","JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical",137.900000,-121.000000,180.000000,top
"J_PIR1","JST-SH 3pin","JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical",147.900000,-121.000000,180.000000,top
"J_TOUCH1","JST-SH 3pin","JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical",138.600000,-90.275000,0.000000,top
"L1","3.9uH","L_4020_4030_Universal_LumaCore",154.966250,-121.320000,180.000000,top
"Q1","2N7002","SOT-23",162.800000,-110.500000,90.000000,top
"Q3","PMOS_30V_6mR_TO252","TO-252-3_TabPin2",178.140000,-101.330000,0.000000,top
"R1","100","R_0805_2012Metric",143.700000,-92.900000,0.000000,top
"R2","10k","R_0805_2012Metric",134.636667,-115.970000,-90.000000,top
"R4","4.7k","R_0805_2012Metric",143.700000,-88.800000,0.000000,top
"R5","100","R_0805_2012Metric",143.000000,-116.200000,-90.000000,top
"R6","4.7k","R_0805_2012Metric",143.712500,-90.800000,0.000000,top
"R7","100k","R_0805_2012Metric",150.350000,-116.600000,-90.000000,top
"R8","100","R_0805_2012Metric",159.262500,-111.800000,0.000000,top
"R9","10k","R_0805_2012Metric",153.600000,-96.500000,0.000000,top
"R10","100k","R_0805_2012Metric",159.262500,-109.600000,0.000000,top
"R12","100","R_0805_2012Metric",155.687500,-111.800000,0.000000,top
"R13","100k","R_0805_2012Metric",163.900000,-106.200000,180.000000,top
"R14","330","R_0805_2012Metric",157.400000,-97.900000,180.000000,top
"R15","100","R_0805_2012Metric",161.200000,-106.800000,90.000000,top
"R17","100k","R_0805_2012Metric",155.430000,-90.002500,-90.000000,top
"R20","33","R_0805_2012Metric",140.125556,-115.970000,-90.000000,top
"R21","33","R_0805_2012Metric",137.381111,-115.970000,-90.000000,top
"SW1","Reset","SW_SPST_B3U-1000P",146.650000,-116.300000,180.000000,top
"U1","AP63203WU","TSOT-23-6",159.862500,-119.727500,180.000000,top
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",140.250000,-103.650000,90.000000,top
"U3","74AHCT125","SOIC-14_3.9x8.7mm_P1.27mm",156.150000,-104.000000,180.000000,top
